品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
3,1315,"傷病金意見書交付料",100,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
3,1316,"在宅療養指導料",170,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
3,1616,"再診時療養指導管理料　生活",920,,,,169,0,169,,,,169,,,,,,,,,,,0,0,0,
3,20563,"生活習慣病管理料１（高血圧症を主病",660,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1061,"在宅自己注射指導管理料（１以外）（",750,,,,18,0,18,,,,18,,,,,,,,,,,0,0,0,
3,1062,"在宅自己注射指導管理料（１以外）（",650,,,,6,0,6,,,,6,,,,,,,,,,,0,0,0,
3,1065,"注入器加算",300,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1400,"導入初期加算（在宅自己注射指導管理",580,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
3,20291,"バイオ後続品導入初期加算（在宅自己",150,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
4,9952,"内服・屯服調剤料",11,,,,26,0,26,,,,26,,,,,,,,,,,0,0,0,
4,9956,"外用調剤料",8,,,,42,0,42,,,,42,,,,,,,,,,,0,0,0,
4,9950,"処方料",42,,,,44,0,44,,,,44,,,,,,,,,,,0,0,0,
5,3000,"皮下筋肉内注射",25,,,,19,0,19,,,,19,,,,,,,,,,,0,0,0,
5,3001,"静脈内注射",37,,,,7,0,7,,,,7,,,,,,,,,,,0,0,0,
5,3030,"中心静脈注射",140,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
5,3007,"滑液嚢穿刺後の注入",100,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
5,3034,"関節腔内注射",80,,,,16,0,16,,,,16,,,,,,,,,,,0,0,0,
5,3035,"腱鞘内注射",42,,,,35,0,35,,,,35,,,,,,,,,,,0,0,0,
6,1667,"労　消炎鎮痛等１日",35,,,,163,0,163,,,,163,,,,,,,,,,,0,0,0,
6,4000,"労　処置１．５加算",1.5,,,,48,0,48,,,,48,,,,,,,,,,,0,0,0,
6,4001,"労　処置２．０加算",2,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
6,4050,"肋骨骨折固定術",500,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
6,4059,"関節穿刺",120,,,,176,0,176,,,,176,,,,,,,,,,,0,0,0,
6,4060,"ガングリオン穿刺術",80,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
6,4070,"鶏眼・胼胝処置",170,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
6,4084,"四肢ギプスシーネ（半肢）（片）",780,,,,7,0,7,,,,7,,,,,,,,,,,0,0,0,
6,4085,"四肢ギプスシーネ（上肢、下肢）（片",1200,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
6,4086,"四肢ギプスシーネ（手指及び手、足）",490,,,,59,0,59,,,,59,,,,,,,,,,,0,0,0,
6,4095,"消炎鎮痛等処置器具",35,,,,335,0,335,,,,335,,,,,,,,,,,0,0,0,
6,4113,"創傷処置１",52,,,,76,0,76,,,,76,,,,,,,,,,,0,0,0,
6,4114,"創傷処置２",60,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
6,4115,"創傷処置３",90,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
6,4129,"絆創膏固定術",500,,,,68,0,68,,,,68,,,,,,,,,,,0,0,0,
6,4146,"腰部固定帯固定",35,,,,12,0,12,,,,12,,,,,,,,,,,0,0,0,
6,4153,"腰部固定帯加算",170,,,,13,0,13,,,,13,,,,,,,,,,,0,0,0,
6,4182,"ギプス・半肢",780,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
6,4184,"ギプス・上肢、下肢",1200,,,,8,0,8,,,,8,,,,,,,,,,,0,0,0,
6,4220,"ギプス３歳未満加算",1.55,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
6,9965,"処置時間外",1.4,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
6,9966,"処置休日",1.8,,,,8,0,8,,,,8,,,,,,,,,,,0,0,0,
6,40008,"治療用装具採型法（体幹装具）",700,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
6,40010,"治療用装具採型法（その他）",200,,,,6,0,6,,,,6,,,,,,,,,,,0,0,0,
7,1635,"創傷処理（指１本）",1060,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,1640,"初診時ブラッシング",91,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
